coverRef,receiptId,healthPremiumInclTax,healthTax,healthBrokerFee,healthHthc,expected_premium,diff
sub_K3xpz7TX1B3127-947000000451770,no_discount-in_1JxBlfF5i98BakyS8bfOmFkU-947000000451770,51.99,4.580604396,15.235,31.08,50.895604395999996,1.094395604000006
sub_1JyctQF5i98BakySpiqcrnJL-250269811226468,no_discount-2CCBD08A-13363-0,43.99,3.695934066,8.97,28.4,41.065934066,2.924065934000005
sub_1JyctQF5i98BakySpiqcrnJL-250269811226468,no_discount-in_1JyctQF5i98BakyS6WlzsomC-250269811226468,43.99,3.695934066,8.97,28.4,41.065934066,2.924065934000005
sub_1K6tTAF5i98BakySUynWmpjY-250269606902011,no_discount-2CCBD08A-12274-0,33.99,2.952857143,6.616666667,23.24,32.80952381,1.1804761900000003
sub_1K2gFKF5i98BakyScNBtYdFQ-250269811399394,no_discount-2CCBD08A-10624-0,32.99,2.852472527,7.141666667,21.7,31.694139194,1.2958608060000003
sub_1JrR7nF5i98BakySf4rcJEEy-250269604690551,no_discount-2CCBD08A-10443-0,48.99,4.305082418,15.51916667,28.01,47.83424908800001,1.155750911999995
sub_1JrR7nF5i98BakySf4rcJEEy-250269604690551,no_discount-in_1JrR7nF5i98BakySHhDtJTMr-250269604690551,48.99,4.305082418,15.51916667,28.01,47.83424908800001,1.155750911999995
sub_KB9bVkOFIAyD86-953000010167782,no_discount-2CCBD08A-11108-1,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_KB9bVkOFIAyD86-953000010167782,no_discount-in_1JWnI9F5i98BakySSqQbvLly-953000010167782,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_KB9bVkOFIAyD86-953000010167782,no_discount-in_1JhfeLF5i98BakySewjLKYSf-953000010167782,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_KB9bVkOFIAyD86-953000010167782,no_discount-in_1JsuN3F5i98BakySbS5blMmB-953000010167782,59.99,5.296978022,16.29833333,37.26,58.855311352,1.134688648000001
sub_1K8lX3F5i98BakySJD8UTDIx-250268711096550,no_discount-2CCBD08A-13046-0,38.99,3.373681319,8.291666667,25.82,37.485347986,1.5046520140000013
sub_1K8LKrF5i98BakyS8yZemzdq-250268731880596,no_discount-2CCBD08A-12851-0,38.99,3.373681319,8.291666667,25.82,37.485347986,1.5046520140000013
sub_1K2DVMF5i98BakySVFBWgign-250269608994013,no_discount-2CCBD08A-10333-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K4pPRF5i98BakySLFopd436-250268731327751,no_discount-2CCBD08A-11572-0,59.99,5.15043956,14.81666667,37.26,57.22710623,2.762893770000005
sub_1K9WoUF5i98BakySmLo6c61s-1,no_discount-2CCBD08A-13369-1,29.99,2.573241758,7.458333333,18.56,28.591575091,1.3984249089999992
sub_1K3yKcF5i98BakySMp4CcF23-499091100017520,no_discount-2CCBD08A-11123-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K2M5QF5i98BakyS1RvRbf9Y-990000001916994,no_discount-2CCBD08A-10463-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1K9t7SF5i98BakySZqRnac1K-0,no_discount-2CCBD08A-13484-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K86Z7F5i98BakySfNygVIQR-250269608062997,no_discount-2CCBD08A-12809-0,29.99,2.597142857,6.25,20.01,28.857142857,1.132857142999999
sub_1K2K5TF5i98BakySPHWcwyfa-250268730224207,no_discount-2CCBD08A-10440-0,27.99,2.377087912,8.225,15.81,26.412087912,1.577912087999998
sub_1K55gGF5i98BakySrI6s606r-250269606693498,no_discount-2CCBD08A-11626-0,32.99,2.852472527,7.141666667,21.7,31.694139194,1.2958608060000003
sub_1K9p5xF5i98BakySo2fEnFP9-0,no_discount-2CCBD08A-13450-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1JtSETF5i98BakySY5fpVfBq-250269590614259,no_discount-2CCBD08A-11294-0,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1JtSETF5i98BakySY5fpVfBq-250269590614259,no_discount-in_1JtSETF5i98BakySkqag1BM8-250269590614259,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1K6C2EF5i98BakySlHKUlDLn-250269802184610,no_discount-2CCBD08A-12009-0,37.99,3.229120879,11.0,21.65,35.879120879,2.1108791210000035
sub_1K556oF5i98BakySP7or69lU-250268712382721,no_discount-2CCBD08A-11621-0,37.99,3.262417582,9.316666667,23.67,36.249084249,1.7409157510000028
sub_1K2IjVF5i98BakyScCiDD0iq-250269811712669,no_discount-2CCBD08A-10422-0,37.99,3.307252747,7.05,26.39,36.747252747000005,1.2427472529999974
sub_1K9SGzF5i98BakySdiliI2qd-0,no_discount-2CCBD08A-13298-0,29.99,2.573241758,7.458333333,18.56,28.591575091,1.3984249089999992
sub_1KBMc2F5i98BakySVNFuLBHm-0,no_discount-2CCBD08A-13951-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1JtshgF5i98BakySwqx9koFG-250269608659415,no_discount-2CCBD08A-11530-0,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1JtshgF5i98BakySwqx9koFG-250269608659415,no_discount-in_1JtshgF5i98BakySVK4K6rsJ-250269608659415,26.99,2.309340659,4.23,19.12,25.659340659,1.330659340999997
sub_1K1pCRF5i98BakySnGGiRo2a-250253657453627,no_discount-2CCBD08A-10059-0,33.99,2.901263736,9.225,20.11,32.236263736,1.753736264000004
sub_1K1vvrF5i98BakySg1zLWT3i-250269500820340,no_discount-2CCBD08A-10199-0,37.99,3.229120879,11.0,21.65,35.879120879,2.1108791210000035
sub_1K2DX5F5i98BakySErSwQXzz-250269606688429,no_discount-2CCBD08A-10334-1,25.99,2.24521978,5.691666667,17.01,24.946886447,1.0431135529999978
sub_1KC5uoF5i98BakyS2ne58Lhx-0,no_discount-2CCBD08A-14278-0,29.99,2.592362637,6.491666667,19.72,28.804029303999997,1.1859706960000018
sub_1K1rdWF5i98BakySYoCpKiqo-250268731810654,no_discount-2CCBD08A-10110-0,29.99,2.597142857,6.25,20.01,28.857142857,1.132857142999999
sub_1KAETLF5i98BakySpfPQLf1j-0,no_discount-2CCBD08A-13591-0,33.99,2.901263736,9.225,20.11,32.236263736,1.753736264000004
sub_1K40FtF5i98BakySBvkCMoeL-250269699512227,no_discount-2CCBD08A-11142-0,25.99,2.232527473,6.333333333,16.24,24.805860806,1.1841391940000001
sub_1K3y69F5i98BakyS7bGmuda7-250268502101534,no_discount-2CCBD08A-11122-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1KByfXF5i98BakyS4AKDgSbY-0,no_discount-2CCBD08A-14153-0,34.99,3.055054945,6.05,24.84,33.945054944999995,1.0449450550000066
sub_1K5C1eF5i98BakySGsJCac2r-956000003675610,no_discount-2CCBD08A-11695-0,40.99,3.56043956,8.05,27.95,39.56043956,1.429560440000003
sub_Jqq5yF3toTLv4a-941000024876724,no_discount-2CCBD08A-12193-0,21.99,1.886291209,3.2925,15.78,20.958791208999997,1.031208791000001
